EXTVER, Integer
NAXIS1, Integer
RAW_LTV2, Float
RADESYS, String
LTM1_1, Float
RAW_LTV1, Float
XTENSION, String
VAFACTOR, Float
LONPOLE, Float
CD2_2, Float
CD1_1, Float
GCOUNT, Integer
PCOUNT, Integer
CD1_2, Float
CUNIT1, String
CTYPE1, String
CDELT2, Float
ORIENTAT, Float
CRVAL2, Float
CDELT1, Float
WCSNAME, String
EXTNAME, String
LATPOLE, Float
CD2_1, Float
RA_APER, Float
INHERIT, Bool
CRPIX1, Float
LTM2_2, Float
CRVAL1, Float
CUNIT2, String
NAXIS2, Integer
CTYPE2, String
CRPIX2, Float
DEC_APER, Float
